,created_at,pos_score,neu_score,neg_score,compound
0,2020-04-09,0.07317401908040994,0.8878658632809753,0.038959687253425246,0.11443828276307179
1,2020-04-10,0.07495963247477001,0.890657026660635,0.03438605211628256,0.1307799668624783
2,2020-04-11,0.07889073097211777,0.8846275433308206,0.036468538055764735,0.15570293896005957
3,2020-04-12,0.07245252032520316,0.8928858536585372,0.03465121951219509,0.13280811382113922
4,2020-04-13,0.07601047452785226,0.8872251229963523,0.03677051261704492,0.12227275035708604
5,2020-04-14,0.08397786502787793,0.8714503243428021,0.044566575623079266,0.13612527028564875
6,2020-04-15,0.0837374012530644,0.8752212612367243,0.04104106510487608,0.15280185235630417
7,2020-04-16,0.08185793555288129,0.8781513571333022,0.039987565182510974,0.12793905602353187
8,2020-04-17,0.08040664608918198,0.880643396598129,0.03895278124384319,0.13009616470742885
9,2020-04-18,0.09264027908224884,0.8760917751241045,0.03126901918690458,0.179416127733799
10,2020-04-19,0.08082564102564163,0.8865500674763869,0.0326252361673415,0.14193153846153986
11,2020-04-20,0.0768358414177675,0.882340539301808,0.04082621648460773,0.10960595829195652
12,2020-04-21,0.07428243607488856,0.8842389451446,0.04148145989655433,0.09882616012238679
13,2020-04-22,0.07571997970867445,0.8879568809334101,0.036321327632437124,0.12540831219653636
14,2020-04-23,0.07364789016757572,0.8887880072683101,0.037560804899387484,0.11031933508311174
15,2020-04-24,0.07597078208873985,0.8862783175918936,0.037746687504246666,0.11435938030848679
16,2020-04-25,0.06874582924435703,0.8994022150567775,0.03185209589233152,0.11706381606617206
17,2020-04-26,0.06724732092498593,0.9002346305696518,0.03252805978567405,0.11147029046813377
18,2020-04-27,0.0723976472351269,0.8956329986512844,0.03197032818822114,0.12446569009440998
19,2020-04-28,0.08012472113775757,0.8842030814277795,0.035666132180702775,0.13295653931957502
20,2020-04-29,0.08138130572332443,0.8861344262295082,0.0324800115041703,0.14168766177739245
21,2020-05-03,0.0752511084835946,0.889005468519068,0.03574830032515511,0.12472580549807805
22,2020-05-04,0.07471487804878023,0.8866217886178823,0.038660081300813075,0.11447639837398318
23,2020-05-05,0.0750756723380894,0.8877137760702548,0.03721453073545549,0.11764934824368785
24,2020-05-06,0.07486334667259517,0.8847298058396337,0.04040566177560408,0.11061230176374587
25,2020-05-07,0.07824002648568099,0.8878996027147749,0.033861032941565915,0.13578351266346705
26,2020-05-08,0.07627832609553918,0.8865380181602913,0.03718097118041845,0.12217079352546581
27,2020-05-09,0.08102170418006428,0.8868371382636676,0.032137620578778135,0.14833765273311864
28,2020-05-28,0.08007034401819083,0.8788334189100039,0.04109880437174502,0.12718855717743674
29,2020-05-29,0.08021086232420421,0.8807139156180546,0.039075684678016254,0.13878781458179157
30,2020-05-30,0.08357501482506398,0.8766044672860246,0.03981873888120169,0.1428670092903735
31,2020-05-31,0.07536816720257215,0.8859276527331202,0.03870257234726695,0.12441378617363306
32,2020-06-01,0.07764048418448487,0.8812556988867266,0.041099840961300524,0.11669642162926408
33,2020-06-02,0.08155535592060242,0.8779555099247136,0.04048990417522251,0.1305898271731671
34,2020-06-03,0.08419496040316769,0.8749306695464409,0.040878689704823834,0.13389216702663767
35,2020-06-04,0.08734275913996539,0.8744741069187788,0.03818070777210742,0.15386901196352187
36,2020-06-05,0.09199210545375379,0.8693230969798101,0.03868530455566033,0.17319521981603167
37,2020-06-06,0.08986309626313102,0.8714988806612749,0.0386337179266404,0.17223800585500373
38,2020-06-07,0.0925971695360373,0.8759222351911343,0.0314684855558799,0.19613392179749223
39,2020-06-08,0.08921745742092377,0.8801338959853905,0.030652980535279945,0.18047720498783312
40,2020-06-09,0.08337917678723782,0.8844120659095286,0.03221118624039942,0.15738530821243166
41,2020-06-10,0.08321305298979083,0.8850456368497843,0.03173985172581428,0.1554165289256172
42,2020-06-11,0.08020223398001099,0.8749096609837288,0.04488085439937297,0.10836647070350731
43,2020-06-13,0.08997481854540097,0.8777896607909899,0.03225551770108136,0.16747407791438307
44,2020-06-14,0.08362243459188409,0.8830792730690903,0.033312078959736834,0.1511834247219172
45,2020-06-15,0.07740703517587924,0.8879781300870548,0.03461469318423099,0.14029208719654548
46,2020-06-16,0.08267038503058732,0.8829744512414454,0.03435840230298693,0.15332657070888644
47,2020-06-17,0.08290005904930589,0.8849174785946311,0.032181871863005716,0.15416536020076846
48,2020-06-18,0.0830768174536576,0.8754847051643918,0.04143504462582941,0.1284341826226257
49,2020-06-19,0.0843891233005145,0.8823548322282491,0.033255374723729025,0.15169509744826257
50,2020-06-20,0.08797687262685544,0.8795088022091829,0.03251536071798417,0.15454373489817066
51,2020-06-21,0.09062463768115975,0.878144283413847,0.031236392914653743,0.16285272141706886
52,2020-06-22,0.07831119818519237,0.8910743795971714,0.030612153708668533,0.14274796177906143
53,2020-06-23,0.07880694337689005,0.8888372405841629,0.03235536766589803,0.14334451703817544
54,2020-06-24,0.08202386451116134,0.8796444117852822,0.0383375323675554,0.13690962978514867
55,2020-06-25,0.07831820985538962,0.8851171269960918,0.0365650058255089,0.13235314234802395
56,2020-06-26,0.07684509573083785,0.8750325918582258,0.0481230559514221,0.10336103847822087
57,2020-06-27,0.08103278221208687,0.8765947833523439,0.0423678734321552,0.13227953249714955
58,2020-06-28,0.07895105162523891,0.8777640535372827,0.04329037603569154,0.13433060548120004
59,2020-06-29,0.0847807006120586,0.8740763120197932,0.041143638494595444,0.14464311759343756
60,2020-06-30,0.08249612790407278,0.8868646640020059,0.030637646764926238,0.18298028353734472
61,2020-07-01,0.0804036816660478,0.8879788025288254,0.03161652411057403,0.16103751084665688
62,2020-07-02,0.08455446651756421,0.8773585712406365,0.03809794763846859,0.15750699250097971
63,2020-07-03,0.09139108038498084,0.8727504405584963,0.03586363020197888,0.18981468076453867
64,2020-07-04,0.09776583276989007,0.8699819697994124,0.032241379310344875,0.2110698895650216
65,2020-07-05,0.08813667711598755,0.8855640543364689,0.026305329153604975,0.19980292580982165
66,2020-07-06,0.0863346237770115,0.8823429999295913,0.03132357288660525,0.1727493277961556
67,2020-07-07,0.0818244180768982,0.8820140050573818,0.036161641703948644,0.1506351941904932
68,2020-07-08,0.088098316237662,0.8778914263595817,0.03400838655570611,0.1688561834720329
69,2020-07-09,0.08655319807002412,0.8782539279970294,0.03518860571569958,0.15889171718421188
70,2020-07-10,0.09362222772890665,0.8740079915747726,0.032369594845744115,0.19057704125882607
71,2020-07-11,0.08244149863081938,0.8882839183470208,0.02926910629823257,0.1740965521533462
72,2020-07-12,0.07995275167785257,0.8921712751677797,0.027864697986577286,0.17309323489933
73,2020-07-13,0.08236651631175962,0.8854834784433043,0.032140564355397166,0.15940142137836744
74,2020-07-14,0.08538309435707647,0.8783543015726175,0.03626699814986145,0.1560863436632723
75,2020-07-15,0.10710921951804513,0.8532379211125773,0.03965112096870875,0.22337844982615748
76,2020-07-16,0.0853544276916547,0.8806717632901532,0.03397373823175471,0.16939944786578787
